Drug,Cell_Line,Predicted_IC50
SN-38,KARPAS-422,0.15596218
Elesclomol,DOHH-2,0.15602674
Rapamycin,BC-1,0.15605657
Camptothecin,SU-DHL-8,0.15687224
Docetaxel,TUR,0.15722725
Romidepsin,LN-229,0.15839379
Docetaxel,T98G,0.15844221
Sepantronium bromide,OCI-LY-19,0.1588072
Bortezomib,KALS-1,0.1588526
Sepantronium bromide,M059J,0.15946524
Dactinomycin,8-MG-BA,0.15962115
Vincristine,SCC-3,0.15970805
Paclitaxel,MOG-G-UVW,0.15992785
Vinorelbine,TUR,0.16011794
Temsirolimus,SU-DHL-16,0.1602209
Docetaxel,Becker,0.16061725
Dactinomycin,RC-K8,0.16070239
Sepantronium bromide,YH-13,0.16091485
Bortezomib,U-118-MG,0.16152675
Staurosporine,H4,0.16167387
Camptothecin,CRO-AP2,0.16178656
BI-2536,SU-DHL-5,0.16179162
Bortezomib,D-542MG,0.16210197
Docetaxel,YH-13,0.16227375
Docetaxel,YH-13,0.16227375
Vinorelbine,JM1,0.16296871
Daporinad,A4-Fuk,0.16329609
SN-38,SF126,0.16387871
Docetaxel,Becker,0.16435954
SN-38,MOG-G-UVW,0.1653932
SN-38,TK,0.1659833
Dactinomycin,TK,0.1666675
Docetaxel,VAL,0.16668868
Sepantronium bromide,RC-K8,0.16671486
Vinorelbine,YH-13,0.1678254
Daporinad,H4,0.16816293
Daporinad,SLVL,0.16822425
Docetaxel,42-MG-BA,0.1685612
Sepantronium bromide,KS-1,0.16860323
Camptothecin,CTB-1,0.1693812
Bortezomib,GRANTA-519,0.16939247
Dinaciclib,CRO-AP2,0.16947809
Docetaxel,A172,0.16965377
BI-2536,CRO-AP2,0.16982636
Sepantronium bromide,YKG-1,0.17010711
Sepantronium bromide,TK,0.17014478
Staurosporine,CTB-1,0.17071076
Daporinad,JM1,0.17133525
Bortezomib,KNS-42,0.17138952
Staurosporine,A4-Fuk,0.17183638
Staurosporine,SW1088,0.1719417
SN-38,D-566MG,0.17217211
Bortezomib,KNS-81-FD,0.1724054
Bortezomib,D-392MG,0.17247702
Staurosporine,SU-DHL-6,0.17249227
Gemcitabine,A4-Fuk,0.1725254
Dactinomycin,SF539,0.1726046
Vinorelbine,GAMG,0.17326015
Daporinad,MC116,0.17347309
Paclitaxel,A4-Fuk,0.17353243
BI-2536,NU-DUL-1,0.17360601
Vincristine,H4,0.17408863
Docetaxel,D-263MG,0.17427677
Gemcitabine,JM1,0.17470373
Sepantronium bromide,T98G,0.17474872
Sepantronium bromide,U251,0.1748631
Gemcitabine,RL,0.17529936
SN-38,D-423MG,0.17550951
Dinaciclib,MC116,0.17572778
LMP744,SCC-3,0.17610486
Dactinomycin,KNS-42,0.1763006
Gemcitabine,JEKO-1,0.1763325
BI-2536,OCI-LY-19,0.17657933
Rapamycin,SU-DHL-10,0.17671715
Bortezomib,DK-MG,0.17715731
Docetaxel,T98G,0.17800806
Staurosporine,SU-DHL-10,0.17816538
Romidepsin,LN-405,0.1789846
Docetaxel,SLVL,0.17963976
Camptothecin,SU-DHL-4,0.18006544
Sepantronium bromide,SF295,0.18020286
Dactinomycin,D-247MG,0.18040021
Dactinomycin,A172,0.18095799
Docetaxel,M059J,0.18126571
Staurosporine,NU-DUL-1,0.1813301
Luminespib,DOHH-2,0.18153925
Dinaciclib,Farage,0.1818221
Staurosporine,BC-1,0.18212382
Paclitaxel,JM1,0.18228509
Sepantronium bromide,GI-1,0.18310359
BI-2536,CTB-1,0.18325546
Bortezomib,LN-229,0.1842584
Dactinomycin,YH-13,0.18427214
Dactinomycin,SU-DHL-8,0.18466407
Paclitaxel,SF539,0.18517013
Paclitaxel,MOG-G-CCM,0.18529457
Dactinomycin,no-10,0.18548396
Dinaciclib,CTB-1,0.18584485
BI-2536,SU-DHL-16,0.18616268
Temsirolimus,WSU-DLCL2,0.1862582
Vinblastine,Becker,0.18644214
Vinorelbine,Hs-683,0.18701738
SN-38,SF295,0.18716022
Sepantronium bromide,U-118-MG,0.18735293
BI-2536,JEKO-1,0.18738228
Vinblastine,42-MG-BA,0.18769988
Camptothecin,SLVL,0.18773006
Rapamycin,KARPAS-422,0.18773544
Docetaxel,KNS-42,0.18854696
Bortezomib,LN-405,0.18865855
Rapamycin,GI-1,0.18882614
Dactolisib,WSU-DLCL2,0.18908173
Luminespib,NU-DUL-1,0.19009611
LMP744,JSC-1,0.19015804
Luminespib,SU-DHL-6,0.19054312
Staurosporine,A172,0.19099285
Dactinomycin,U251,0.19105212
Vincristine,KARPAS-1106P,0.19223851
Gemcitabine,SU-DHL-10,0.19225548
Vincristine,DB,0.19234735
Docetaxel,KS-1,0.19271947
Sepantronium bromide,GRANTA-519,0.19301124
Staurosporine,M059J,0.19331175
Rapamycin,MC116,0.19332631
Paclitaxel,Becker,0.19348168
Dactolisib,SU-DHL-6,0.19377235
Luminespib,D-336MG,0.19499102
Dinaciclib,GI-1,0.195117
Bortezomib,D-502MG,0.19535314
Paclitaxel,JSC-1,0.19535515
SN-38,42-MG-BA,0.19547607
Romidepsin,DBTRG-05MG,0.19548833
Dactinomycin,SF295,0.19571975
Luminespib,A4-Fuk,0.19580768
Docetaxel,SW1088,0.1964634
Sepantronium bromide,U-87-MG,0.19769567
Luminespib,CTB-1,0.19821537
Sepantronium bromide,KINGS-1,0.19837925
Dactolisib,SU-DHL-5,0.19885169
SN-38,U-118-MG,0.19894461
BI-2536,BC-1,0.19929437
Camptothecin,SU-DHL-10,0.19965988
Luminespib,BC-1,0.1997334
Dactolisib,SU-DHL-16,0.19973901
Temsirolimus,DOHH-2,0.20037818
Gemcitabine,SU-DHL-8,0.20041728
Elesclomol,JEKO-1,0.20095037
Docetaxel,LNZTA3WT4,0.20100515
Rapamycin,A4-Fuk,0.20165104
Staurosporine,DOHH-2,0.20207816
Podophyllotoxin bromide,DOHH-2,0.20209481
Staurosporine,42-MG-BA,0.20253184
Vinblastine,KARPAS-422,0.20276847
Staurosporine,KS-1,0.20291491
Staurosporine,GAMG,0.20308316
Sepantronium bromide,Hs-683,0.20314334
BI-2536,RL,0.20394439
Dinaciclib,KARPAS-1106P,0.20396319
Pevonedistat,SU-DHL-5,0.20411783
Dactinomycin,Becker,0.20451197
Dinaciclib,D-566MG,0.20524332
BI-2536,JSC-1,0.20525488
BI-2536,MC116,0.20537709
Elesclomol,CRO-AP2,0.20544055
Docetaxel,SK-MG-1,0.20567948
Dactinomycin,42-MG-BA,0.20645773
Camptothecin,SU-DHL-6,0.20646115
Vinblastine,T98G,0.20660526
Staurosporine,TUR,0.20667912
Dactinomycin,YH-13,0.20676987
Paclitaxel,D-542MG,0.20690331
Docetaxel,SU-DHL-8,0.20702207
Luminespib,SF539,0.20777582
Dinaciclib,D-423MG,0.20831586
Staurosporine,SU-DHL-4,0.20912439
Sepantronium bromide,GB-1,0.20945033
Dinaciclib,D-336MG,0.20999286
Staurosporine,SF539,0.21092562
Daporinad,KS-1,0.21131387
Sepantronium bromide,D-502MG,0.21183367
Luminespib,Hs-683,0.21237735
Docetaxel,RC-K8,0.2128934
Sepantronium bromide,Becker,0.2129911
Vinorelbine,SF295,0.21318524
Luminespib,KARPAS-422,0.21325135
Camptothecin,SF126,0.2134362
Luminespib,YH-13,0.21408224
Dinaciclib,SF126,0.21421067
Rapamycin,SF126,0.21455042
Staurosporine,JSC-1,0.21461767
BI-2536,SU-DHL-6,0.21492738
Rapamycin,CTB-1,0.21501586
Camptothecin,SF539,0.21508218
Epirubicin,DOHH-2,0.21527043
Docetaxel,SF268,0.21538219
Docetaxel,no-10,0.21544133
Dactolisib,CRO-AP2,0.21554416
Camptothecin,TK,0.21605667
Luminespib,42-MG-BA,0.2160846
Vinorelbine,LNZTA3WT4,0.21611018
Dactinomycin,KS-1,0.21642846
Staurosporine,SF126,0.21671434
Staurosporine,MOG-G-CCM,0.21679145
Sepantronium bromide,CAS-1,0.21733154
Vinorelbine,D-247MG,0.2179631
Staurosporine,YH-13,0.21801415
BI-2536,SU-DHL-10,0.21805207
Vinorelbine,D-542MG,0.21806028
Epirubicin,BC-1,0.21836026
Dinaciclib,H4,0.21862705
Rapamycin,YH-13,0.21868032
Docetaxel,KARPAS-422,0.21899247
Luminespib,VAL,0.2191347
Topotecan,SCC-3,0.21915658
Topotecan,A3-KAW,0.21918046
Dactolisib,H4,0.21921478
Epirubicin,OCI-LY-19,0.21924481
Vinblastine,SF268,0.21939339
Dactinomycin,D-263MG,0.21950565
Dactinomycin,D-392MG,0.21954077
Rapamycin,JSC-1,0.21958488
Paclitaxel,KS-1,0.219595
Mitoxantrone,JSC-1,0.21965821
Camptothecin,AM-38,0.21976407
Dactinomycin,SW1088,0.22022948
Dactinomycin,SW1088,0.22022948
Dactinomycin,GAMG,0.22035314
Rapamycin,VAL,0.22047539
Paclitaxel,YKG-1,0.22054687
Dactinomycin,SNB75,0.22077341
Vincristine,YH-13,0.2209631
Rapamycin,SCC-3,0.22120653
Gemcitabine,SLVL,0.22140716
Luminespib,RL,0.22195737
Dactinomycin,VAL,0.22200564
Paclitaxel,SU-DHL-8,0.22218004
Vinblastine,D-263MG,0.22297283
Gemcitabine,BC-1,0.22318529
BI-2536,WSU-DLCL2,0.22323366
SN-38,Becker,0.22340502
Vincristine,TK,0.22350189
Vinblastine,DBTRG-05MG,0.22445308
Dactolisib,A3-KAW,0.22469091
Dactinomycin,GI-1,0.22469369
Dactinomycin,T98G,0.2247049
SN-38,GAMG,0.22477803
Vincristine,8-MG-BA,0.22537163
Sepantronium bromide,KALS-1,0.22584398
Staurosporine,SLVL,0.22599137
BI-2536,VAL,0.22685005
Rapamycin,D-336MG,0.22694692
Gemcitabine,H4,0.22725654
LMP744,BC-1,0.22757743
Sepantronium bromide,D-542MG,0.22774807
Epirubicin,JSC-1,0.22780922
BI-2536,SU-DHL-4,0.2282833
Dinaciclib,SCC-3,0.22832929
Staurosporine,SF295,0.22847667
Luminespib,DB,0.22893518
LMP744,Farage,0.22901829
Dinaciclib,VAL,0.22923157
Daporinad,D-423MG,0.22928618
Staurosporine,D-423MG,0.23068033
Luminespib,SCC-3,0.23081651
Epirubicin,A3-KAW,0.23131028
Dactinomycin,GRANTA-519,0.23139013
LMP744,DB,0.23142329
Dinaciclib,YH-13,0.23151165
Elesclomol,OCI-LY-19,0.2321848
Camptothecin,MOG-G-UVW,0.23224452
Luminespib,KARPAS-1106P,0.23235859
Vinblastine,KALS-1,0.23249584
Paclitaxel,D-263MG,0.23272654
Luminespib,MOG-G-CCM,0.23338033
Rapamycin,KARPAS-1106P,0.23358665
Teniposide,A3-KAW,0.2336412
Dactinomycin,GB-1,0.23426676
Vinorelbine,SNB75,0.23450567
Camptothecin,42-MG-BA,0.2354779
Vinorelbine,U251,0.23586471
Paclitaxel,D-502MG,0.23587437
Luminespib,M059J,0.23709945
Rapamycin,M059J,0.23712955
Bortezomib,DBTRG-05MG,0.23737837
Vincristine,GRANTA-519,0.23753507
Luminespib,JSC-1,0.23761006
Camptothecin,U251,0.2376897
Dactinomycin,D-542MG,0.2377255
Teniposide,SCC-3,0.23804653
Dinaciclib,SF539,0.23891169
Staurosporine,KARPAS-422,0.23929445
Vincristine,SF539,0.2393694
Vinorelbine,T98G,0.23940113
Vinblastine,AM-38,0.2395099
BI-2536,JM1,0.23962626
Epirubicin,MC116,0.23971736
SN-38,LNZTA3WT4,0.23995978
Vinblastine,SW1088,0.24014437
Epirubicin,RL,0.24085207
Docetaxel,SF295,0.24098836
Bortezomib,NMC-G1,0.24118702
SN-38,no-10,0.2419618
Camptothecin,KARPAS-422,0.24313876
Epirubicin,Farage,0.24316639
Staurosporine,CAS-1,0.24351679
Dinaciclib,M059J,0.2440949
Vinblastine,GB-1,0.24427806
Epirubicin,WSU-DLCL2,0.24439013
Schweinfurthin A,SU-DHL-6,0.24453586
Camptothecin,LNZTA3WT4,0.24477763
Dactinomycin,U-118-MG,0.24538411
Staurosporine,LN-18,0.24556912
Epirubicin,SU-DHL-10,0.2457362
Dactinomycin,SF268,0.24627277
LMP744,A4-Fuk,0.24724111
Podophyllotoxin bromide,SCC-3,0.24730475
Sepantronium bromide,no-11,0.2477313
Dinaciclib,OCI-LY-19,0.24778908
Vincristine,42-MG-BA,0.24799499
Vinblastine,DK-MG,0.24830943
Staurosporine,DK-MG,0.24837051
Luminespib,D-423MG,0.24878794
Tozasertib,NU-DUL-1,0.24899465
Gemcitabine,GRANTA-519,0.24932164
Paclitaxel,TK,0.2493715
Topotecan,GRANTA-519,0.24983138
Luminespib,CAS-1,0.25016963
Rapamycin,SF539,0.25072446
Podophyllotoxin bromide,A3-KAW,0.25141016
Mitoxantrone,SCC-3,0.25167784
Lestaurtinib,SU-DHL-16,0.2518045
Epirubicin,SLVL,0.25182056
Dasatinib,SU-DHL-6,0.25189984
Dactinomycin,LN-229,0.25236472
Camptothecin,RC-K8,0.25265026
Daporinad,T98G,0.25345105
Dactolisib,RL,0.253795
SN-38,D-247MG,0.2540752
Vinorelbine,D-502MG,0.25417045
Luminespib,T98G,0.25437143
Docetaxel,CAS-1,0.25441507
Dactolisib,SF539,0.25459865
Daporinad,D-263MG,0.25498885
Luminespib,SLVL,0.2558353
Luminespib,Becker,0.25646394
Paclitaxel,SLVL,0.25802216
Camptothecin,Becker,0.25805753
Daporinad,no-10,0.25812462
Dactolisib,KARPAS-1106P,0.2583086
Schweinfurthin A,DOHH-2,0.25896323
Docetaxel,D-392MG,0.259239
Luminespib,KS-1,0.25928527
Epirubicin,H4,0.25982755
Camptothecin,A172,0.25995848
Vinblastine,SK-MG-1,0.2611162
Vinorelbine,KNS-42,0.26129958
Temsirolimus,SU-DHL-10,0.2613692
AZD7762,SU-DHL-5,0.2615215
Gemcitabine,Hs-683,0.2617229
Camptothecin,SF295,0.2620262
Dactolisib,42-MG-BA,0.26237693
Luminespib,no-10,0.2627411
Temsirolimus,RL,0.26312223
Luminespib,TUR,0.2634067
Luminespib,SNB75,0.26437405
Lestaurtinib,A3-KAW,0.2654386
Dinaciclib,T98G,0.26572064
Topotecan,VAL,0.26585138
Luminespib,DK-MG,0.2664076
AZD5153,A3-KAW,0.2669963
Lestaurtinib,Farage,0.2671614
Dactolisib,D-566MG,0.26732275
Epirubicin,DB,0.26745984
Dinaciclib,AM-38,0.26785502
Paclitaxel,T98G,0.2679053
Vincristine,KARPAS-422,0.268174
Daporinad,MOG-G-CCM,0.268293
Dactolisib,8-MG-BA,0.26833183
Mitoxantrone,SU-DHL-8,0.2684399
Epirubicin,MOG-G-UVW,0.26845804
AZD8055,A4-Fuk,0.26888344
Luminespib,KALS-1,0.26888463
SN-38,KNS-81-FD,0.26965064
Tanespimycin,A4-Fuk,0.27012435
Lestaurtinib,A4-Fuk,0.270243
Paclitaxel,U-118-MG,0.27024454
LMP744,KARPAS-1106P,0.27127272
Rapamycin,D-423MG,0.27145517
SN-38,Hs-683,0.27150002
Dinaciclib,SLVL,0.27159685
Dactinomycin,LN-405,0.2721784
Staurosporine,LNZTA3WT4,0.2725748
Dinaciclib,GRANTA-519,0.27264374
Dactinomycin,LN-18,0.27267572
Paclitaxel,KARPAS-422,0.27308232
Dactolisib,D-247MG,0.27344534
Dasatinib,SU-DHL-16,0.2734644
Dactolisib,MC116,0.2739568
BI-2536,D-566MG,0.27399
Paclitaxel,AM-38,0.27424368
Rapamycin,RC-K8,0.2742542
Camptothecin,Hs-683,0.27448955
Vincristine,RC-K8,0.27450368
Pevonedistat,A3-KAW,0.27456328
Docetaxel,U-87-MG,0.27486065
Rapamycin,MOG-G-CCM,0.2748711
SN-38,YKG-1,0.275192
Schweinfurthin A,VAL,0.27544817
Schweinfurthin A,SU-DHL-5,0.2756614
MG-132,MOG-G-UVW,0.27633584
Lestaurtinib,BC-1,0.27677172
SN-38,DBTRG-05MG,0.27818975
Dactolisib,Hs-683,0.2783478
Dactolisib,VAL,0.27854288
Dactolisib,GI-1,0.2786261
LMP744,SLVL,0.27884498
Staurosporine,RC-K8,0.27912134
Temsirolimus,BC-1,0.2795686
LMP744,SU-DHL-10,0.27956963
MG-132,H4,0.27981296
Dasatinib,WSU-DLCL2,0.28037107
Dinaciclib,KS-1,0.28043
Podophyllotoxin bromide,H4,0.28044936
Luminespib,RC-K8,0.28092274
AZD7762,A3-KAW,0.2810495
Dactolisib,A172,0.28105393
Vinblastine,KS-1,0.28113037
Schweinfurthin A,A3-KAW,0.28132123
BI-2536,D-423MG,0.281406
Dactolisib,MOG-G-CCM,0.28195575
Dinaciclib,SF295,0.28231484
Daporinad,YKG-1,0.28301334
MG-132,A3-KAW,0.28323913
SN-38,D-336MG,0.28338936
Vinblastine,CAS-1,0.28342393
Epirubicin,8-MG-BA,0.2835782
Paclitaxel,KALS-1,0.28388512
Vincristine,M059J,0.2842178
Temsirolimus,SU-DHL-4,0.2842679
Daporinad,YH-13,0.28432438
Luminespib,JM1,0.2843252
Daporinad,D-566MG,0.28441498
Topotecan,BC-1,0.28446564
Rapamycin,KALS-1,0.28464252
Dasatinib,SU-DHL-5,0.28467783
Gemcitabine,AM-38,0.28477934
Venetoclax,SU-DHL-16,0.28494775
Dinaciclib,SNB75,0.285386
Dinaciclib,Becker,0.2860628
LMP744,SU-DHL-6,0.2866285
Rapamycin,T98G,0.28787073
MG-132,SU-DHL-16,0.288389
Navitoclax,OCI-LY-19,0.288471
Staurosporine,YKG-1,0.28849885
LMP744,GRANTA-519,0.28882307
BI-2536,GRANTA-519,0.28890163
Luminespib,D-502MG,0.28960457
Camptothecin,YKG-1,0.28963408
Podophyllotoxin bromide,SU-DHL-10,0.2898677
Dasatinib,A4-Fuk,0.2900469
SN-38,KS-1,0.29006466
Pictilisib,SU-DHL-16,0.29052818
Vinorelbine,SF268,0.29060793
Lestaurtinib,VAL,0.29128534
Epirubicin,TUR,0.29148296
Dinaciclib,D-542MG,0.29196265
Dasatinib,NU-DUL-1,0.2920203
Epirubicin,SU-DHL-8,0.2922258
AZD5991,DOHH-2,0.29237816
Dasatinib,Farage,0.29243532
MG-132,SLVL,0.29295066
MG-132,A172,0.2930094
Dactinomycin,DK-MG,0.29333693
Dactinomycin,DK-MG,0.29333693
Daporinad,Hs-683,0.29376438
Lestaurtinib,SCC-3,0.29450092
Rapamycin,DK-MG,0.29494715
Talazoparib,SU-DHL-5,0.29514214
Vinorelbine,KS-1,0.2956321
Dactolisib,SF126,0.2960185
LMP744,8-MG-BA,0.296161
LMP744,RC-K8,0.29626718
Pictilisib,SU-DHL-6,0.29628035
Camptothecin,GAMG,0.29645014
Staurosporine,no-11,0.29689986
BI-2536,A172,0.29707086
MG-132,SU-DHL-6,0.2976863
Sabutoclax,JSC-1,0.29821506
Staurosporine,U251,0.29826483
Dinaciclib,KALS-1,0.2983132
JQ1,A3-KAW,0.29839632
Dactolisib,KS-1,0.29870537
MG-132,OCI-LY-19,0.29871038
Schweinfurthin A,SU-DHL-10,0.2997021
Lestaurtinib,JEKO-1,0.30018443
Docetaxel,SF268,0.30043966
Afuresertib,SU-DHL-6,0.30071765
Tanespimycin,Farage,0.30157912
Vinorelbine,D-392MG,0.30159125
Luminespib,KNS-42,0.30171824
Dinaciclib,D-263MG,0.30183116
SN-38,KNS-42,0.30190176
Vincristine,AM-38,0.30198294
Elesclomol,D-566MG,0.3023496
Paclitaxel,KNS-81-FD,0.3023606
Tanespimycin,A3-KAW,0.30241087
MG-132,BC-1,0.3026255
Staurosporine,AM-38,0.30278
